Product,Count,,,,Marketplaces
Cowpeas,666,,,,Ruhengeri
Wheat,490,,,,Lira
Mixed Beans,699,,,,Kobero
Green Peas,832,,,,Ngozi
Red Sorghum,843,,,,Gulu
Millet Grain,861,,,,Masindi
Imported Rice,672,,,,Kampala
Yellow Beans,696,,,,Bujumbura
Red Beans,695,,,,Kapchorwa
Dry Maize,897,,,,Kabale
Green Gram,541,,,,Gitega
Dry Peas,257,,,,Kimironko
Rice,718,,,,Gicumbi
Black Beans (Dolichos),515,,,,Dar es salaam
Ground Nuts,251,,,,Kigoma
Rice Bran,2,,,,Arusha
,,,,,Iringa
,,,,,Kitale
,,,,,Nairobi
,,,,,Mombasa
,,,,,Nakuru
,,,,,Eldoret
,,,,,Kisumu